

lambda, I
849.9059, 185850.8750
850.0839, 185812.0000
850.2618, 185867.4375
850.4397, 185864.1094
850.6176, 185894.2969
850.7955, 185924.4688
850.9734, 185909.4062
851.1514, 185960.3906
851.3293, 186001.7188
851.5072, 186025.3281
851.6851, 186095.5625
851.8630, 186124.4375
852.0410, 186198.2812
852.2189, 186187.7812
852.3967, 186153.3281
852.5746, 186146.3281
852.7526, 186129.9375
852.9305, 186095.4688
853.1084, 186035.2969
853.2863, 186021.5000
853.4642, 185959.3281
853.6422, 185951.1719
853.8201, 185950.4375
853.9980, 185905.1094
854.1759, 185899.0625
854.3538, 185909.6094
854.5317, 185901.7812
854.7097, 185868.5625
854.8876, 185850.7812
855.0655, 185905.2969
855.2434, 185895.1250
855.4213, 185858.9375
855.5992, 185891.8281
855.7772, 185877.2344
855.9551, 185900.6094
856.1330, 185920.7812
856.3109, 185954.0625
856.4888, 185941.5000
856.6667, 185922.1719
856.8447, 185970.2188
857.0226, 185956.4375
857.2005, 185966.5625
857.3784, 185964.3281
857.5563, 185988.1719
857.7343, 186008.8906
857.9122, 186005.7188
858.0901, 186066.1094
858.2680, 186086.8906
858.4459, 186042.1094
858.6238, 186037.6406
858.8018, 186039.2344
858.9797, 185972.3594
859.1576, 186033.7031
859.3355, 185963.5625
859.5134, 185974.1094
859.6913, 185976.3906
859.8693, 185925.9375
860.0472, 185922.1094
860.2251, 185928.0000
860.4030, 185916.3906
860.5809, 185915.3281
860.7589, 186034.5625
860.9368, 185961.5625
861.1147, 185821.0000
861.2926, 185851.0625
861.4705, 185863.8750
861.6484, 185842.8750
861.8264, 185809.7656
862.0043, 185792.7188
862.1822, 185839.0000
862.3601, 185890.4375
862.5380, 185870.0000
862.7159, 185923.3906
862.8939, 185921.6719
863.0718, 185949.2812
863.2497, 186000.6719
863.4276, 186050.2188
863.6055, 186138.3281
863.7834, 186086.3281
863.9614, 186161.2812
864.1393, 186150.3281
864.3172, 186143.9375
864.4951, 186114.5312
864.6730, 186084.8281
864.8510, 186066.0000
865.0289, 186021.2344
865.2068, 185963.7031
865.3847, 185941.8281
865.5626, 185919.2188
865.7405, 185918.8906
865.9185, 185942.0000
866.0964, 185891.9375
866.2743, 185895.3906
866.4522, 185871.2812
866.6301, 185884.3281
866.8080, 185850.8281
866.9860, 185830.4375
867.1639, 185871.1094
867.3418, 185870.7812
867.5197, 185856.0625
867.6976, 185888.8281
867.8755, 185891.8750
868.0535, 185899.0625
868.2314, 185895.8750
868.4093, 185918.9375
868.5872, 185906.5625
868.7651, 185949.7188
868.9431, 185939.7188
869.1210, 185956.1719
869.2988, 185948.5000
869.4767, 185945.6094
869.6547, 185983.8281
869.8326, 186040.4375
870.0105, 186032.5625
870.1884, 186032.5000
870.3663, 186011.2188
870.5443, 186039.6719
870.7222, 185996.8750
870.9001, 185969.7031
871.0780, 186005.7031
871.2559, 185918.2969
871.4338, 185948.4062
871.6118, 185919.2344
871.7897, 185923.6719
871.9676, 185914.9375
872.1455, 185887.0000
872.3234, 185868.9375
872.5013, 185876.0000
872.6793, 185995.0625
872.8572, 185830.8906
873.0351, 185800.6094
873.2130, 185860.2812
873.3909, 185822.7188
873.5688, 185794.6719
873.7468, 185799.2812
873.9247, 185787.3906
874.1026, 185818.5938
874.2805, 185794.1250
874.4584, 185876.1250
874.6364, 185867.5938
874.8143, 185892.9375
874.9922, 185907.1250
875.1701, 185986.1094
875.3480, 185985.2188
875.5259, 186062.7188
875.7039, 186073.9375
875.8818, 186101.6094
876.0597, 186101.4375
876.2376, 186080.6094
876.4155, 186025.1719
876.5934, 186039.0625
876.7714, 186005.0625
876.9493, 185950.0625
877.1272, 185920.0625
877.3051, 185890.8906
877.4830, 185862.1719
877.6609, 185882.1250
877.8389, 185884.7656
878.0168, 185838.7656
878.1947, 185843.8281
878.3726, 185785.7656
878.5505, 185831.8281
878.7285, 185778.8906
878.9064, 185789.8281
879.0843, 185797.1094
879.2622, 185791.4375
879.4401, 185790.3281
879.6180, 185810.1094
879.7960, 185863.4375
879.9739, 185827.3906
880.1518, 185856.1094
880.3297, 185860.1094
880.5076, 185875.2188
880.6855, 185879.8281
880.8635, 185923.5938
881.0414, 185918.1250
881.2193, 185921.8281
881.3972, 185927.3594
881.5751, 185959.1094
881.7531, 185930.6094
881.9310, 186002.9375
882.1089, 185985.8906
882.2868, 185930.4375
882.4647, 185925.3906
882.6426, 185952.6094
882.8206, 185913.6719
882.9985, 185872.1094
883.1764, 185879.2188
883.3543, 185863.5000
883.5322, 185847.0625
883.7101, 185853.5625
883.8881, 185865.1250
884.0660, 185805.9375
884.2439, 185806.6406
884.4218, 185890.3594
884.5997, 185911.7656
884.7776, 185740.4375
884.9556, 185738.6719
885.1335, 185796.6094
885.3114, 185759.0625
885.4893, 185738.8281
885.6672, 185770.6094
885.8452, 185763.3281
886.0230, 185754.0625
886.2009, 185806.1719
886.3788, 185812.7188
886.5568, 185816.8281
886.7347, 185865.5000
886.9126, 185926.3281
887.0905, 185943.1719
887.2684, 186018.7031
887.4464, 186056.2344
887.6243, 186055.7656
887.8022, 186093.4688
887.9801, 186021.2969
888.1580, 186015.8281
888.3359, 186021.7812
888.5139, 185987.8281
888.6918, 185928.8906
888.8697, 185938.4375
889.0476, 185879.5625
889.2255, 185844.8281
889.4034, 185808.7812
889.5814, 185799.6094
889.7593, 185804.8906
889.9372, 185791.9375
890.1151, 185768.0000
890.2930, 185772.7812
890.4709, 185774.5625
890.6489, 185778.6094
890.8268, 185771.7812
891.0047, 185757.0000
891.1826, 185770.7812
891.3605, 185763.5625
891.5385, 185830.5000
891.7164, 185815.2188
891.8943, 185837.8281
892.0722, 185847.0625
892.2501, 185837.5312
892.4280, 185849.7656
892.6060, 185861.4062
892.7839, 185890.3906
892.9618, 185891.5625
893.1397, 185900.7812
893.3176, 185950.3281
893.4955, 185933.1094
893.6735, 185990.5625
893.8514, 185992.3906
894.0293, 185915.9375
894.2072, 185919.6094
894.3851, 185893.4375
894.5630, 185916.2812
894.7410, 185894.0625
894.9189, 185892.1094
895.0968, 185897.5000
895.2747, 185878.2812
895.4526, 185895.2969
895.6306, 185859.0000
895.8085, 185843.9375
895.9864, 185841.2969
896.1643, 185834.5938
896.3422, 185901.9375
896.5201, 185893.7188
896.6981, 185731.7188
896.8760, 185775.3281
897.0539, 185774.5625
897.2318, 185737.1719
897.4097, 185742.6094
897.5876, 185769.7812
897.7656, 185748.1719
897.9435, 185797.9375
898.1214, 185824.9375
898.2993, 185845.2188
898.4772, 185829.6094
898.6552, 185885.7812
898.8331, 185917.0000
899.0110, 185990.7812
899.1889, 186011.8281
899.3668, 186059.9375
899.5447, 186069.8281
899.7227, 186115.9375
899.9006, 186044.7031
900.0785, 186010.2344
900.2564, 186013.4375
900.4343, 185960.1094
900.6122, 185916.5000
900.7902, 185911.1719
900.9681, 185878.6719
