

lambda, I
849.9059, 186064.3438
850.0839, 186059.5312
850.2618, 186045.7188
850.4397, 186112.1719
850.6176, 186107.6719
850.7955, 186132.1719
850.9734, 186152.9375
851.1514, 186152.5000
851.3293, 186218.2812
851.5072, 186250.0625
851.6851, 186297.2188
851.8630, 186355.3281
852.0410, 186386.2188
852.2189, 186376.2188
852.3967, 186386.2812
852.5746, 186320.7812
852.7526, 186348.6094
852.9305, 186308.4375
853.1084, 186237.4375
853.2863, 186198.6719
853.4642, 186220.7812
853.6422, 186179.1719
853.8201, 186161.3281
853.9980, 186150.9375
854.1759, 186144.7188
854.3538, 186129.8281
854.5317, 186122.2188
854.7097, 186080.2812
854.8876, 186091.8906
855.0655, 186111.0625
855.2434, 186074.3906
855.4213, 186072.1719
855.5992, 186102.8906
855.7772, 186127.1719
855.9551, 186114.2188
856.1330, 186155.4375
856.3109, 186125.9375
856.4888, 186169.2188
856.6667, 186160.4375
856.8447, 186171.2812
857.0226, 186183.3906
857.2005, 186213.8281
857.3784, 186210.1719
857.5563, 186200.8906
857.7343, 186241.2812
857.9122, 186263.7188
858.0901, 186318.0625
858.2680, 186311.3906
858.4459, 186290.6094
858.6238, 186274.2969
858.8018, 186286.8281
858.9797, 186221.0625
859.1576, 186213.5312
859.3355, 186242.9375
859.5134, 186190.2344
859.6913, 186180.2969
859.8693, 186199.0000
860.0472, 186149.1250
860.2251, 186143.8281
860.4030, 186158.7812
860.5809, 186157.9375
860.7589, 186241.7188
860.9368, 186174.6719
861.1147, 186063.1719
861.2926, 186137.1094
861.4705, 186115.3906
861.6484, 186081.2812
861.8264, 186103.1719
862.0043, 186053.3906
862.1822, 186062.8906
862.3601, 186103.6094
862.5380, 186113.0625
862.7159, 186148.6094
862.8939, 186163.2812
863.0718, 186206.7812
863.2497, 186248.7188
863.4276, 186292.3906
863.6055, 186332.2188
863.7834, 186378.5000
863.9614, 186410.6094
864.1393, 186392.3906
864.3172, 186363.7188
864.4951, 186354.0000
864.6730, 186340.5625
864.8510, 186279.5625
865.0289, 186235.3906
865.2068, 186232.0000
865.3847, 186171.2812
865.5626, 186195.1719
865.7405, 186201.7812
865.9185, 186177.8281
866.0964, 186141.6719
866.2743, 186129.5625
866.4522, 186128.6406
866.6301, 186135.5938
866.8080, 186138.9375
866.9860, 186146.0625
867.1639, 186101.8750
867.3418, 186129.9375
867.5197, 186102.5312
867.6976, 186155.0000
867.8755, 186152.9375
868.0535, 186171.2344
868.2314, 186154.5938
868.4093, 186156.7031
868.5872, 186181.6406
868.7651, 186203.4375
868.9431, 186199.4375
869.1210, 186218.9375
869.2988, 186228.8906
869.4767, 186250.7188
869.6547, 186251.0625
869.8326, 186332.3281
870.0105, 186316.0625
870.1884, 186338.1094
870.3663, 186312.1719
870.5443, 186291.7812
870.7222, 186292.2812
870.9001, 186265.1094
871.0780, 186261.2188
871.2559, 186248.9375
871.4338, 186239.1094
871.6118, 186232.7188
871.7897, 186208.6719
871.9676, 186201.2812
872.1455, 186217.8281
872.3234, 186171.0000
872.5013, 186168.5625
872.6793, 186306.7812
872.8572, 186144.7188
873.0351, 186082.2188
873.2130, 186163.5625
873.3909, 186147.6094
873.5688, 186111.6719
873.7468, 186090.1719
873.9247, 186111.0625
874.1026, 186149.8281
874.2805, 186147.5000
874.4584, 186195.4375
874.6364, 186165.9375
874.8143, 186191.8281
874.9922, 186238.1094
875.1701, 186287.7812
875.3480, 186372.8281
875.5259, 186396.7031
875.7039, 186433.6406
875.8818, 186446.8281
876.0597, 186428.8281
876.2376, 186375.1719
876.4155, 186413.5000
876.5934, 186352.9375
876.7714, 186333.0625
876.9493, 186294.2812
877.1272, 186257.5625
877.3051, 186222.6719
877.4830, 186220.8281
877.6609, 186231.4062
877.8389, 186189.6094
878.0168, 186172.0625
878.1947, 186171.7812
878.3726, 186164.6094
878.5505, 186160.7188
878.7285, 186180.8906
878.9064, 186131.2812
879.0843, 186135.5625
879.2622, 186143.4375
879.4401, 186152.3281
879.6180, 186190.2812
879.7960, 186203.7188
879.9739, 186206.0625
880.1518, 186230.0000
880.3297, 186220.7812
880.5076, 186243.6094
880.6855, 186268.9375
880.8635, 186286.1094
881.0414, 186256.0625
881.2193, 186310.2812
881.3972, 186332.2969
881.5751, 186368.0000
881.7531, 186387.0625
881.9310, 186409.3594
882.1089, 186359.0625
882.2868, 186329.6406
882.4647, 186342.0625
882.6426, 186284.1094
882.8206, 186336.9375
882.9985, 186271.6719
883.1764, 186249.1094
883.3543, 186266.0000
883.5322, 186290.0000
883.7101, 186261.2812
883.8881, 186248.6719
884.0660, 186266.2188
884.2439, 186226.8906
884.4218, 186271.8281
884.5997, 186361.4375
884.7776, 186185.0000
884.9556, 186215.5625
885.1335, 186221.6719
885.3114, 186182.7188
885.4893, 186164.3281
885.6672, 186155.5000
885.8452, 186177.5625
886.0230, 186183.5625
886.2009, 186181.6719
886.3788, 186237.5625
886.5568, 186241.9375
886.7347, 186271.6719
886.9126, 186287.5625
887.0905, 186364.0000
887.2684, 186407.5625
887.4464, 186438.6094
887.6243, 186473.1719
887.8022, 186505.9375
887.9801, 186466.4375
888.1580, 186437.0625
888.3359, 186442.4375
888.5139, 186427.1719
888.6918, 186381.6094
888.8697, 186314.8906
889.0476, 186324.4375
889.2255, 186263.3906
889.4034, 186234.8906
889.5814, 186266.7812
889.7593, 186266.2812
889.9372, 186220.7656
890.1151, 186221.6406
890.2930, 186224.3594
890.4709, 186172.9375
890.6489, 186207.2812
890.8268, 186205.8281
891.0047, 186173.0625
891.1826, 186153.0000
891.3605, 186211.7188
891.5385, 186246.0000
891.7164, 186247.7188
891.8943, 186217.8281
892.0722, 186238.3281
892.2501, 186257.6719
892.4280, 186266.1719
892.6060, 186271.9375
892.7839, 186290.6719
892.9618, 186313.6406
893.1397, 186318.4688
893.3176, 186337.4688
893.4955, 186369.8281
893.6735, 186386.2344
893.8514, 186412.1719
894.0293, 186356.3281
894.2072, 186360.5000
894.3851, 186342.8906
894.5630, 186329.7188
894.7410, 186298.0000
894.9189, 186282.2188
895.0968, 186279.7188
895.2747, 186255.2188
895.4526, 186285.2188
895.6306, 186249.6719
895.8085, 186193.6094
895.9864, 186212.2812
896.1643, 186217.1719
896.3422, 186323.5312
896.5201, 186250.8281
896.6981, 186148.9375
896.8760, 186191.0000
897.0539, 186190.8281
897.2318, 186177.5000
897.4097, 186159.3281
897.5876, 186135.2188
897.7656, 186171.2188
897.9435, 186159.0625
898.1214, 186216.0000
898.2993, 186230.4375
898.4772, 186237.8906
898.6552, 186255.3281
898.8331, 186293.3906
899.0110, 186375.3281
899.1889, 186407.7812
899.3668, 186469.9375
899.5447, 186473.3594
899.7227, 186483.5312
899.9006, 186445.2344
900.0785, 186382.7656
900.2564, 186410.6719
900.4343, 186358.8906
900.6122, 186300.4375
900.7902, 186278.8281
900.9681, 186245.8281
901.1460, 186242.2812
901.3239, 186233.3281
901.5018, 186162.9375
901.6797, 186221.5000
901.8577, 186142.2812
902.0356, 186165.7188
902.2135, 186171.6719
902.3914, 186154.3281
902.5693, 186141.0000
902.7473, 186137.1719
902.9251, 186140.0625
903.1030, 186165.4688
903.2809, 186140.4688
903.4589, 186177.4688
903.6368, 186208.4062
903.8147, 186192.1094
903.9926, 186206.8281
904.1705, 186204.3281
904.3484, 186184.6094
904.5264, 186240.7188
904.7043, 186247.6094
904.8822, 186266.7812
905.0601, 186264.5625
905.2380, 186249.8906
