

lambda, I
849.9059, 187251.6094
850.0839, 187270.5000
850.2618, 187266.0625
850.4397, 187303.4375
850.6176, 187314.6094
850.7955, 187343.4375
850.9734, 187344.6719
851.1514, 187415.5625
851.3293, 187401.1094
851.5072, 187489.7812
851.6851, 187570.7031
851.8630, 187602.5312
852.0410, 187633.8750
852.2189, 187622.4688
852.3967, 187596.3281
852.5746, 187574.8906
852.7526, 187577.9375
852.9305, 187513.3906
853.1084, 187490.8906
853.2863, 187436.5000
853.4642, 187441.4375
853.6422, 187434.3281
853.8201, 187416.2812
853.9980, 187451.5625
854.1759, 187414.9375
854.3538, 187359.3281
854.5317, 187361.3281
854.7097, 187336.5000
854.8876, 187377.2812
855.0655, 187389.5625
855.2434, 187394.7188
855.4213, 187372.8906
855.5992, 187365.6094
855.7772, 187353.0000
855.9551, 187418.5000
856.1330, 187428.2344
856.3109, 187443.1250
856.4888, 187444.7656
856.6667, 187428.8281
856.8447, 187467.0000
857.0226, 187481.1719
857.2005, 187488.1719
857.3784, 187514.0625
857.5563, 187567.6719
857.7343, 187532.0000
857.9122, 187520.8281
858.0901, 187565.6719
858.2680, 187585.4375
858.4459, 187528.6719
858.6238, 187539.3906
858.8018, 187521.4375
858.9797, 187504.6094
859.1576, 187502.1094
859.3355, 187480.6719
859.5134, 187489.6094
859.6913, 187490.4375
859.8693, 187452.0000
860.0472, 187432.9375
860.2251, 187412.9375
860.4030, 187429.3281
860.5809, 187417.1094
860.7589, 187532.8906
860.9368, 187485.5000
861.1147, 187327.3281
861.2926, 187358.6094
861.4705, 187380.8281
861.6484, 187319.3281
861.8264, 187378.2188
862.0043, 187344.5000
862.1822, 187374.1094
862.3601, 187386.2188
862.5380, 187418.7812
862.7159, 187432.8281
862.8939, 187437.7812
863.0718, 187494.7812
863.2497, 187485.1719
863.4276, 187543.3906
863.6055, 187611.0000
863.7834, 187618.2188
863.9614, 187679.4375
864.1393, 187667.5000
864.3172, 187640.3906
864.4951, 187585.1094
864.6730, 187601.5000
864.8510, 187533.9375
865.0289, 187539.8281
865.2068, 187507.7656
865.3847, 187454.7031
865.5626, 187428.5938
865.7405, 187433.3594
865.9185, 187396.2344
866.0964, 187408.3594
866.2743, 187360.3906
866.4522, 187345.2812
866.6301, 187340.6094
866.8080, 187337.6719
866.9860, 187295.9375
867.1639, 187326.5000
867.3418, 187268.6094
867.5197, 187265.1094
867.6976, 187277.2812
867.8755, 187295.3281
868.0535, 187281.0625
868.2314, 187334.2812
868.4093, 187265.2812
868.5872, 187238.2188
868.7651, 187302.1094
868.9431, 187314.6719
869.1210, 187280.0625
869.2988, 187289.2812
869.4767, 187279.0625
869.6547, 187350.8906
869.8326, 187330.1094
870.0105, 187353.7812
870.1884, 187315.7812
870.3663, 187266.5625
870.5443, 187222.2812
870.7222, 187249.7188
870.9001, 187225.5625
871.0780, 187177.5625
871.2559, 187158.0625
871.4338, 187145.7188
871.6118, 187104.5000
871.7897, 187089.1719
871.9676, 187048.7812
872.1455, 187049.3906
872.3234, 187004.5000
872.5013, 187017.5625
872.6793, 187099.3281
872.8572, 186936.8906
873.0351, 186876.2188
873.2130, 186900.6719
873.3909, 186879.7031
873.5688, 186875.8750
873.7468, 186858.7656
873.9247, 186876.1250
874.1026, 186848.0625
874.2805, 186855.9375
874.4584, 186846.3594
874.6364, 186852.5312
874.8143, 186874.7031
874.9922, 186862.7656
